일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가격
2010-01-01,-7.6,-12.7,-3.6,0.0,1.9,48.0,1883
2010-01-02,-3.6,-7.4,0.2,1.4,2.8,76.4,1883
2010-01-03,-6.8,-10.5,-3.2,0.0,2.2,49.3,1883
2010-01-04,-5.9,-8.0,-3.4,14.2,3.0,84.1,1883
2010-01-05,-9.9,-12.3,-7.0,0.0,2.9,66.4,1783
2010-01-06,-11.2,-13.3,-8.1,0.0,1.9,65.5,1950
2010-01-07,-10.1,-13.6,-5.5,0.0,1.7,66.8,1950
2010-01-08,-8.0,-11.8,-3.3,0.0,1.7,67.4,1707
2010-01-09,-5.1,-8.7,-1.9,0.4,1.5,75.8,1707
2010-01-10,-3.4,-5.3,-0.3,0.0,1.7,79.1,1707
2010-01-11,-5.2,-8.3,-1.3,0.0,2.3,75.1,1573
2010-01-12,-10.3,-12.9,-7.3,0.0,2.9,52.1,1582
2010-01-13,-13.2,-15.3,-10.7,0.0,3.2,53.4,1715
2010-01-14,-9.1,-14.4,-4.1,0.0,1.8,55.8,1410
2010-01-15,-5.0,-7.5,-0.6,0.3,2.4,65.1,1633
2010-01-16,-6.4,-10.1,-2.1,0.0,1.9,52.5,1633
2010-01-17,-4.0,-9.0,1.4,0.0,1.4,61.0,1633
2010-01-18,-0.5,-3.9,1.9,0.0,1.6,69.6,1747
2010-01-19,2.7,-1.6,6.8,3.0,2.2,72.1,1747
2010-01-20,5.8,2.4,8.4,7.0,1.7,96.5,1800
2010-01-21,-4.1,-8.0,2.4,0.5,4.1,60.8,1700
2010-01-22,-7.0,-9.6,-3.4,0.0,3.5,47.3,1698
2010-01-23,-5.3,-9.1,-0.9,0.0,2.1,46.4,1698
2010-01-24,0.3,-4.5,3.8,0.0,2.9,66.6,1698
2010-01-25,-3.0,-8.5,2.6,0.0,3.6,52.4,1698
2010-01-26,-4.1,-9.5,1.1,0.0,1.9,53.1,1698
2010-01-27,-0.2,-4.0,3.1,2.5,2.1,72.6,1700
2010-01-28,-0.4,-5.0,2.7,0.0,3.6,68.1,1733
2010-01-29,-2.1,-7.3,1.4,0.0,2.7,55.1,1733
2010-01-30,1.5,-1.7,5.0,0.0,2.0,67.4,1733
2010-01-31,1.8,-0.5,4.3,0.0,1.3,82.4,1733
2010-02-01,0.8,-2.6,5.1,0.0,2.6,71.6,1733
2010-02-02,-6.2,-9.1,-2.6,0.0,3.7,29.6,1733
