일시,가격
2010-01-01,1883
2010-01-02,1883
2010-01-03,1883
2010-01-04,1883
2010-01-05,1783
2010-01-06,1950
2010-01-07,1950
2010-01-08,1707
2010-01-09,1707
2010-01-10,1707
2010-01-11,1573
2010-01-12,1582
2010-01-13,1715
2010-01-14,1410
2010-01-15,1633
2010-01-16,1633
2010-01-17,1633
2010-01-18,1747
2010-01-19,1747
2010-01-20,1800
2010-01-21,1700
2010-01-22,1698
2010-01-23,1698
2010-01-24,1698
2010-01-25,1698
2010-01-26,1698
2010-01-27,1700
2010-01-28,1733
2010-01-29,1733
2010-01-30,1733
2010-01-31,1733
2010-02-01,1733
2010-02-02,1733
2010-02-03,1733
2010-02-04,1733
2010-02-05,1633
2010-02-06,1633
2010-02-07,1633
2010-02-08,1415
2010-02-09,1413
2010-02-10,1365
2010-02-11,1365
2010-02-12,1398
2010-02-13,1398
2010-02-14,1398
2010-02-15,1398
2010-02-16,1442
2010-02-17,1584
2010-02-18,1733
2010-02-19,1733
2010-02-20,1733
2010-02-21,1733
2010-02-22,1612
2010-02-23,1678
2010-02-24,1678
2010-02-25,1587
2010-02-26,1453
2010-02-27,1453
2010-02-28,1453
2010-03-01,1453
2010-03-02,1488
2010-03-03,1398
2010-03-04,1564
2010-03-05,1428
2010-03-06,1428
2010-03-07,1428
2010-03-08,1473
2010-03-09,1495
2010-03-10,1445
2010-03-11,1595
2010-03-12,1518
2010-03-13,1518
2010-03-14,1518
2010-03-15,1518
2010-03-16,1518
2010-03-17,1518
2010-03-18,1640
2010-03-19,1678
2010-03-20,1678
2010-03-21,1678
2010-03-22,1695
2010-03-23,1695
2010-03-24,1423
2010-03-25,1512
2010-03-26,1445
2010-03-27,1445
2010-03-28,1445
2010-03-29,1445
2010-03-30,1445
2010-03-31,1450
2010-04-01,1504
2010-04-02,1344
2010-04-03,1344
2010-04-04,1344
2010-04-05,1344
2010-04-06,1344
2010-04-07,1344
2010-04-08,1544
2010-04-09,1644
2010-04-10,1644
2010-04-11,1644
2010-04-12,1784
2010-04-13,1784
2010-04-14,1784
2010-04-15,1524
2010-04-16,1482
2010-04-17,1482
2010-04-18,1482
2010-04-19,1484
2010-04-20,1484
2010-04-21,1484
2010-04-22,1624
2010-04-23,1624
2010-04-24,1624
2010-04-25,1624
2010-04-26,1744
2010-04-27,1744
2010-04-28,1664
2010-04-29,1464
2010-04-30,1364
2010-05-01,1364
2010-05-02,1364
2010-05-03,1584
2010-05-04,1584
2010-05-05,1584
2010-05-06,1584
2010-05-07,1624
2010-05-08,1624
2010-05-09,1624
2010-05-10,1744
